X,Y,OBJECTID,Bridge_Department_Number,Bridge_Name,Bridge_Identification_Number__B,Highway_Agency_District,Town,Latitude,Longitude,Feature_Intersected,Facility_Carried,Structure_Material,Structure_Type,Year_Built,Year_Reconstructed,Type_of_Service,Structure_Length,Bridge_Owner,Structurally_Deficient,BridgeInspectionDate,Posted,Structure_Category,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-71.060000573304634,42.051675280935505,1,B25053,N,98T,05,Brockton,42.05166667,-71.06,WATER SEWER PIPE,ST 24 @ STA 9,Concrete,Culvert (includes frame culverts),1953,0,Highway,2.4,DOT,UNKNOWN,NO CURRENT INSPECTION,Open,Culvert,{F206DE47-1558-43EC-B9C2-D16136E96479},,,,
-71.023972562527504,42.079791592959623,2,B25033,N,98U,05,Brockton,42.07978297,-71.023972,WATER DORCHESTER BROOK,ST123 BELMONT ST,Concrete,Culvert (includes frame culverts),1850,1900,Overpass structure at an interchange or second level of a multilevel interchange,4,DOT,NO,2016-02-19 00:00:00,Open,Short Span Bridge,{08255BA9-43F8-49FE-9B23-EF5E2BCE62B1},,,,
-70.741908443411091,42.083941630612905,3,D14013,,AAL,05,Duxbury,42.083933,-70.74190797,WATER SOUTH RIVER,ST  3 SB/PLGRM HWY,Concrete,Culvert (includes frame culverts),1962,0,Highway,4.9,DOT,UNKNOWN,NO CURRENT INSPECTION,Open,Short Span Bridge,{977F52A5-11E9-425C-A0D0-C32F813E1ACC},,,,
-70.840883812510327,41.66619188022122,4,M09007,,AAW,05,Mattapoisett,41.66618333,-70.84088333,WATER MATTAPOISETT RIVER,I 195 WB,Concrete,Culvert (includes frame culverts),1971,0,Highway,5.6,DOT,UNKNOWN,NO CURRENT INSPECTION,Open,Short Span Bridge,{A5514300-C9B3-447D-9ADE-8D0228BAC06E},,,,
-71.793594659327582,42.260041464044193,5,W44082,,1T8,03,Worcester,42.26003283,-71.79359383,COMB  4 CITY STS & CSX,I 290 WB,Steel,Stringer/Multi-beam or Girder,1958,2007,Highway,474,DOT,NO,2016-07-12 00:00:00,Open,Bridge (NBI),{6D469347-F325-4EF6-91E2-D6E7C37129F1},,,,
-71.793317853948835,42.265719630852473,6,W44091,,1T9,03,Worcester,42.265711,-71.79331703,HWY   E CENTRAL ST,I 290 EB,Steel continuous,Stringer/Multi-beam or Girder,1958,0,Highway,48.8,DOT,NO,2015-07-30 00:00:00,Open,Bridge (NBI),{D3FDFF4D-3E37-4861-A964-8F897D91A7AD},,,,
-71.79351565926008,42.265864465496854,7,W44091,,1TA,03,Worcester,42.26585583,-71.79351483,HWY   E CENTRAL ST,I 290 WB,Steel continuous,Stringer/Multi-beam or Girder,1958,0,Highway,48.8,DOT,NO,2015-07-30 00:00:00,Open,Bridge (NBI),{D75EEE3E-3F0B-451E-B79B-C78792816061},,,,
-71.793242825580535,42.267354632592465,8,W44092,,1TB,03,Worcester,42.267346,-71.793242,HWY   PROSPECT ST,I 290,Concrete,Frame (except frame culverts),1958,0,Highway,13.4,DOT,NO,2015-05-01 00:00:00,Open,Bridge (NBI),{467258E0-2145-4A78-9BFF-C07952B1D623},,,,
-71.79626682692296,42.275040633256914,9,W44095,,1TC,03,Worcester,42.275032,-71.796266,ST 70 LNCLN ST & ON RAMP,I 290 EB,Steel,Stringer/Multi-beam or Girder,1961,1982,Highway,50.9,DOT,NO,2015-05-22 00:00:00,Open,Bridge (NBI),{650589A4-65DD-45EE-94A8-38702A150C88},,,,
-73.26713128824494,42.399887578994232,10,L07009,,ABR,01,Lenox,42.39987897,-73.26712997,WATER YOKUM BROOK,US 20 /US7/PTTSFLD,Concrete,Culvert (includes frame culverts),1999,0,Highway-pedestrian,3.1,DOT,NO,2017-01-20 00:00:00,Open,Short Span Bridge,{75CB7A43-5E45-4F67-AA3F-40192DFAC9EE},,,,
