,X,Y,CTY_CODE,ADTTOTAL,BRIDGE_ID,COVERED_BRIDGE,CUSTODIAN,DECK_AREA,DECKWIDTH,DEPT_MAIN_MATERIAL_TYPE,DEPT_MAIN_PHYSICAL_TYPE,DESIGNMAIN,HISTSIGN,LENGTH,MATERIALMAIN,NBI_RATING,STATE_LOCAL,STRRATING,YEARBUILT,YEARRECON,FLOOD_INSP,KIND_HWY
0,-75.4269552448,40.0733836507,15,88917.0,15020204300000,0.0,1.0,5757.49951,117.499992,4.0,2.0,2.0,0.0,49.0,5.0,1.0,1,6.0,1967.0,2000.0,0.0,2.0
1,-75.4083731197,40.0788745335,15,99035.0,15020204500979,0.0,1.0,1104.0,0.0,2.0,1.0,19.0,0.0,12.0,1.0,0.0,1,7.0,1967.0,0.0,0.0,2.0
2,-75.4752170385,40.0533332108,15,20837.0,15025200940945,0.0,1.0,11351.1006,72.3000031,4.0,2.0,5.0,0.0,157.0,5.0,0.0,1,6.0,1974.0,0.0,0.0,3.0
3,-75.4699881844,40.0592996105,15,20837.0,15025200943611,0.0,1.0,2460.0,82.0,3.0,1.0,19.0,0.0,30.0,1.0,0.0,1,6.0,1948.0,1992.0,1.0,3.0
4,-75.457030665,40.0654656444,15,11853.0,15025201101816,0.0,26.0,880.000122,0.0,3.0,1.0,19.0,0.0,22.0,1.0,0.0,1,7.0,2000.0,0.0,0.0,3.0
5,-75.4581095289,40.0648709025,15,12674.0,15025201111534,0.0,1.0,2918.3999,45.5999985,4.0,2.0,6.0,0.0,64.0,5.0,0.0,1,6.0,1967.0,0.0,0.0,3.0
6,-75.9814699092,39.7235825205,15,7300.0,15027200200000,0.0,1.0,413.00003,41.2999992,2.0,1.0,1.0,0.0,10.0,1.0,0.0,1,5.0,1932.0,0.0,0.0,3.0
7,-76.0166786453,39.7484226369,15,5851.0,15027200502765,0.0,1.0,1488.29993,36.2999992,4.0,2.0,5.0,0.0,41.0,5.0,1.0,1,7.0,1985.0,0.0,0.0,3.0
8,-75.7046637577,40.0144864941,15,7085.0,15028201521158,0.0,1.0,8684.0,52.0,4.0,2.0,5.0,0.0,167.0,5.0,0.0,1,6.0,1974.0,0.0,0.0,3.0
16,-75.7355263106,40.0499087543,15,3116.0,15028201120029,0.0,1.0,532.400024,24.2000008,8.0,6.0,2.0,0.0,22.0,2.0,1.0,1,4.0,1935.0,0.0,1.0,3.0
17,-75.744978553,40.0586897502,15,2084.0,15028200961652,0.0,1.0,1743.00012,49.7999992,4.0,2.0,5.0,0.0,35.0,5.0,0.0,1,6.0,1968.0,0.0,0.0,3.0
19,-75.6136501856,39.9349276814,15,10594.0,15005201800000,0.0,1.0,460.00003,46.0,1.0,9.0,19.0,0.0,10.0,3.0,0.0,1,6.0,1969.0,0.0,0.0,3.0
20,-75.6098522542,39.9428583603,15,10594.0,15005201900000,0.0,1.0,1952.00012,0.0,1.0,9.0,19.0,0.0,32.0,3.0,0.0,1,5.0,1988.0,0.0,0.0,3.0
22,-75.8212857068,40.0015338025,15,5102.0,15008204720192,0.0,1.0,2132.0,82.0,2.0,1.0,4.0,0.0,26.0,1.0,0.0,1,6.0,1961.0,0.0,0.0,3.0
24,-75.8293322936,39.9772933204,15,2995.0,15008204220236,0.0,1.0,1125.59998,46.9000015,4.0,2.0,6.0,0.0,24.0,5.0,0.0,1,6.0,1933.0,1999.0,0.0,3.0
26,-75.8159362512,39.9149580126,15,4869.0,15008203121196,0.0,1.0,1334.00012,23.0,1.0,6.0,2.0,1.0,58.0,3.0,1.0,1,4.0,1932.0,0.0,1.0,3.0
30,-75.691573494,39.8307812044,15,3456.0,15008200420000,0.0,1.0,243.0,0.0,1.0,9.0,19.0,0.0,9.0,3.0,1.0,1,4.0,1981.0,0.0,0.0,3.0
32,-77.6173,41.3688000001,18,27.0,18793551100063,0.0,11.0,264.0,22.0,2.0,1.0,19.0,0.0,12.0,1.0,0.0,0,7.0,1953.0,1995.0,0.0,7.0
37,-75.6916061436,39.8268593193,15,3456.0,15008200320895,0.0,1.0,1199.99988,24.0,1.0,6.0,2.0,0.0,50.0,3.0,1.0,1,3.0,1938.0,1974.0,0.0,3.0
38,-75.6276561129,39.9143308953,15,1369.0,15310000802742,0.0,1.0,846.30005,27.2999992,4.0,2.0,5.0,0.0,31.0,5.0,0.0,1,5.0,1960.0,0.0,0.0,3.0
39,-80.0266994761,40.4305379419,2,68332.0,02037606841870,0.0,1.0,4700.0,100.0,2.0,1.0,4.0,0.0,47.0,1.0,0.0,1,6.0,1952.0,2015.0,1.0,1.0
40,-75.6156274134,40.0115241167,15,8461.0,15310002000569,0.0,1.0,6720.00049,32.0,1.0,9.0,2.0,0.0,210.000015,3.0,1.0,1,6.0,1968.0,2009.0,0.0,3.0
41,-75.6278248007,40.027691296,15,45039.0,15010002202187,0.0,1.0,8128.00049,127.000008,1.0,6.0,2.0,0.0,64.0,3.0,0.0,1,6.0,1954.0,2000.0,0.0,3.0
42,-75.6711951533,40.0642169905,15,34175.0,15010003200000,0.0,1.0,6314.5,86.5,1.0,7.0,2.0,0.0,73.0,3.0,1.0,1,7.0,1987.0,0.0,0.0,3.0
44,-75.6700718183,40.163558363,15,14903.0,15010004901197,0.0,1.0,2821.00024,43.4000015,2.0,1.0,11.0,0.0,65.0,1.0,0.0,1,5.0,1953.0,2000.0,1.0,3.0
45,-75.6624685474,40.1953762028,15,18968.0,15010005500000,0.0,1.0,2214.0,0.0,2.0,1.0,19.0,0.0,41.0,1.0,0.0,1,5.0,1966.0,0.0,0.0,3.0
46,-75.6601589773,40.2333828132,15,19982.0,15010006200000,0.0,1.0,13260.001,85.0,1.0,6.0,2.0,0.0,156.0,4.0,1.0,1,6.0,1954.0,1998.0,0.0,3.0
47,-75.6017782248,40.1080079654,15,10551.0,15011301801031,0.0,1.0,1394.00012,41.0,4.0,2.0,6.0,0.0,34.0,5.0,0.0,1,7.0,1961.0,0.0,1.0,3.0
56,-78.8311312878,40.1828737337,55,3129.0,55016008200000,0.0,1.0,2647.40015,43.4000015,4.0,2.0,6.0,0.0,61.0,5.0,0.0,1,8.0,2008.0,0.0,0.0,3.0
58,-75.5683850953,40.0453542254,15,71953.0,15020202701010,0.0,1.0,1520.00012,0.0,2.0,1.0,19.0,0.0,20.0,1.0,0.0,1,6.0,1967.0,2014.0,0.0,2.0
60,-75.5612324125,40.0515480449,15,50221.0,15020202801323,0.0,1.0,2392.0,0.0,2.0,1.0,19.0,0.0,26.0,1.0,0.0,1,6.0,1967.0,0.0,0.0,2.0
61,-77.2978,40.0305999998,21,1.0,21793563101000,0.0,11.0,187.199997,11.6999998,1.0,6.0,2.0,0.0,16.0,3.0,1.0,0,6.0,1936.0,1997.0,0.0,7.0
63,-75.8935039407,39.8038679473,15,4548.0,15089601402514,0.0,1.0,450.00003,25.0,8.0,6.0,2.0,0.0,18.0,3.0,1.0,1,4.0,1936.0,0.0,1.0,3.0
64,-80.0091904902,40.4412082424,2,14458.0,02027900090351,0.0,1.0,10705.501,30.5,1.0,9.0,2.0,0.0,351.0,3.0,1.0,1,6.0,1968.0,1985.0,0.0,1.0
65,-75.9788220523,39.8596933244,15,2343.0,15089602600000,0.0,1.0,1344.00012,21.0,1.0,6.0,2.0,0.0,64.0,3.0,1.0,1,5.0,1932.0,1974.0,1.0,3.0
68,-75.7868823146,39.8718451865,15,1595.0,15092601503182,0.0,1.0,578.600037,26.2999992,2.0,1.0,1.0,0.0,22.0,1.0,0.0,1,5.0,1938.0,0.0,0.0,3.0
69,-75.7414890831,39.8718454788,15,3154.0,15092602100000,0.0,1.0,351.0,27.0,2.0,1.0,1.0,0.0,13.0,1.0,1.0,1,4.0,1935.0,0.0,0.0,3.0
76,-75.5811467508,40.0939412483,15,1129.0,15102600300000,0.0,1.0,1014.0,26.0,2.0,1.0,1.0,0.0,39.0,1.0,0.0,1,5.0,1943.0,0.0,1.0,3.0
77,-75.556427934,40.0829027582,15,1299.0,15102600502722,0.0,1.0,274.40002,19.6000004,2.0,1.0,1.0,0.0,14.0,1.0,1.0,1,5.0,1930.0,0.0,0.0,3.0
81,-75.6143539784,40.1612394569,15,1818.0,15103300500000,0.0,1.0,370.50003,24.7000008,2.0,1.0,1.0,0.0,15.0,1.0,1.0,1,5.0,1937.0,1992.0,0.0,3.0
82,-75.5866049763,40.1972920329,15,3203.0,15103500401449,0.0,1.0,4608.0,48.0,1.0,7.0,2.0,0.0,96.0,3.0,0.0,1,5.0,1969.0,0.0,0.0,3.0
84,-75.568969522,40.1686477837,15,685.0,15104100200688,0.0,1.0,440.000061,20.0,1.0,6.0,2.0,0.0,22.0,3.0,1.0,1,5.0,1931.0,0.0,1.0,3.0
85,-75.5629608269,40.1692802241,15,503.0,15104100300026,0.0,1.0,240.0,0.0,1.0,9.0,19.0,0.0,12.0,3.0,1.0,1,3.0,1970.0,0.0,0.0,3.0
87,-75.5758506485,40.1311057844,15,4224.0,15104500100387,0.0,1.0,247.000015,19.0,2.0,1.0,1.0,0.0,13.0,1.0,1.0,1,5.0,1935.0,0.0,0.0,3.0
92,-75.5004853953,40.0539849966,15,4606.0,15105300300241,0.0,1.0,7265.6001,47.7999992,4.0,2.0,6.0,0.0,152.0,6.0,0.0,1,6.0,1993.0,0.0,0.0,3.0
93,-75.554083016,39.9336981685,15,1977.0,15200600501485,0.0,1.0,1638.00024,36.4000015,4.0,2.0,5.0,0.0,45.0,5.0,0.0,1,7.0,2000.0,0.0,0.0,3.0
94,-75.5400388935,39.9350471987,15,2940.0,15200700200000,0.0,1.0,220.0,0.0,1.0,9.0,19.0,0.0,11.0,3.0,0.0,1,6.0,1997.0,0.0,0.0,3.0
96,-75.547844428,39.9724493524,15,4906.0,15201000300164,0.0,1.0,396.0,22.0,2.0,1.0,1.0,0.0,18.0,1.0,1.0,1,5.0,1937.0,1978.0,0.0,3.0
97,-75.5936787443,39.9967896376,15,12952.0,15201100500485,0.0,1.0,855.000061,0.0,2.0,1.0,19.0,0.0,19.0,1.0,0.0,1,7.0,1968.0,0.0,0.0,3.0
98,-75.5623047111,39.9842291605,15,14232.0,15201400500000,0.0,1.0,1120.0,35.0,2.0,1.0,4.0,0.0,32.0,1.0,0.0,1,5.0,1946.0,0.0,1.0,3.0
99,-75.549288433,39.9909312516,15,10895.0,15201400600794,0.0,1.0,2308.0,57.6999969,3.0,1.0,19.0,0.0,40.0,1.0,0.0,1,7.0,1998.0,0.0,0.0,3.0
100,-75.5363965841,40.0078759533,15,10339.0,15201400800811,0.0,1.0,714.0,34.0,2.0,1.0,1.0,0.0,21.0,1.0,0.0,1,6.0,1946.0,0.0,1.0,3.0
101,-75.6714064704,40.0062127717,15,11424.0,15202000500000,0.0,1.0,6804.0,42.0,4.0,2.0,5.0,0.0,162.0,5.0,1.0,1,3.0,1964.0,0.0,0.0,3.0
102,-75.6659305844,40.0065571295,15,5642.0,15202000501625,0.0,1.0,1890.00012,42.0,4.0,2.0,5.0,0.0,45.0,5.0,0.0,1,5.0,1964.0,0.0,0.0,3.0
104,-75.6143803321,40.0094890729,15,13743.0,15202001000328,0.0,1.0,4277.00049,45.5,4.0,2.0,5.0,0.0,94.0,5.0,1.0,1,6.0,1968.0,0.0,0.0,3.0
109,-75.4366060984,40.0708686477,15,8631.0,15202100703313,0.0,1.0,812.0,0.0,2.0,1.0,19.0,0.0,28.0,1.0,0.0,1,6.0,1967.0,0.0,0.0,3.0
111,-75.4590026169,40.0329117071,15,6041.0,15202600400944,0.0,1.0,468.0,39.0,2.0,1.0,19.0,0.0,12.0,1.0,0.0,1,6.0,1969.0,0.0,0.0,3.0
113,-75.5329916694,39.9292794265,15,2379.0,15202900101159,0.0,1.0,1592.5,32.5,4.0,2.0,5.0,0.0,49.0,5.0,0.0,1,7.0,1990.0,0.0,0.0,3.0
115,-75.9284100126,39.7287849374,15,892.0,15300400200000,0.0,1.0,1512.79993,24.3999996,1.0,6.0,2.0,0.0,62.0,3.0,1.0,1,3.0,1937.0,0.0,0.0,3.0
116,-75.8921981473,39.768093547,15,2209.0,15300400800000,0.0,1.0,414.399994,25.8999996,2.0,1.0,1.0,0.0,16.0,1.0,1.0,1,5.0,1937.0,0.0,0.0,3.0
117,-75.8400429317,39.8113079394,15,3860.0,15300401500000,0.0,1.0,2186.59985,37.7000008,4.0,2.0,6.0,0.0,58.0,5.0,0.0,1,7.0,1992.0,0.0,0.0,3.0
119,-76.8034588923,41.418860958,41,278.0,41100500701346,0.0,1.0,2613.00024,33.5,4.0,2.0,6.0,0.0,78.0,5.0,0.0,1,7.0,2008.0,0.0,0.0,3.0
125,-75.5496,39.9320999998,15,12000.0,15092604400804,0.0,27.0,1349.00012,35.5,4.0,2.0,5.0,0.0,38.0,5.0,1.0,1,7.0,1987.0,0.0,0.0,3.0
128,-75.5506776538,40.0460620537,15,4284.0,15100200400000,0.0,1.0,423.00003,23.5,2.0,1.0,1.0,0.0,18.0,1.0,1.0,1,5.0,1983.0,0.0,0.0,3.0
129,-75.5354827293,40.0495747983,15,8682.0,15100200501323,0.0,1.0,1884.80005,49.5999985,4.0,2.0,6.0,0.0,38.0,5.0,0.0,1,6.0,1969.0,0.0,0.0,3.0
130,-75.5764562048,40.0416782196,15,8121.0,15100300120000,0.0,1.0,480.0,0.0,2.0,1.0,19.0,0.0,15.0,1.0,0.0,1,6.0,1937.0,0.0,0.0,3.0
131,-75.5707262652,40.0544089708,15,11670.0,15100300420000,0.0,1.0,1320.00012,0.0,3.0,1.0,19.0,0.0,30.0,1.0,0.0,1,7.0,1996.0,0.0,1.0,3.0
133,-75.4652729384,40.0079703635,15,923.0,15100500320000,0.0,1.0,1054.0,31.0,3.0,1.0,19.0,0.0,34.0,1.0,0.0,1,7.0,1998.0,0.0,0.0,3.0
135,-75.4843,40.0429999998,15,5566.0,15100500801331,0.0,27.0,1762.1001,26.2999992,1.0,9.0,2.0,0.0,67.0,3.0,1.0,1,5.0,1983.0,0.0,0.0,3.0
144,-80.2257867877,41.8746478944,25,1683.0,25009800400787,0.0,1.0,390.00003,39.0,3.0,1.0,19.0,0.0,10.0,1.0,0.0,1,8.0,2008.0,0.0,0.0,3.0
147,-75.4429,39.9484999998,23,25.0,23793564271104,0.0,11.0,494.00003,26.0,2.0,1.0,1.0,0.0,19.0,1.0,1.0,0,4.0,1934.0,2005.0,0.0,7.0
148,-75.4878610185,40.0595815071,15,5566.0,15100501001199,0.0,1.0,904.400085,32.2999992,4.0,2.0,1.0,0.0,28.0,5.0,0.0,1,7.0,1970.0,0.0,0.0,3.0
149,-75.4453,40.0466999998,15,5582.0,15100700100108,0.0,27.0,1782.20007,26.6000004,1.0,9.0,3.0,0.0,67.0,3.0,1.0,1,3.0,1957.0,0.0,0.0,3.0
150,-75.4223350838,40.0762494139,15,9371.0,15101000241619,0.0,1.0,989.79999,70.6999969,2.0,1.0,1.0,0.0,14.0,1.0,0.0,1,7.0,1948.0,1997.0,0.0,3.0
151,-75.4169052552,40.0785343176,15,9371.0,15101000300000,0.0,1.0,924.0,66.0,2.0,1.0,1.0,0.0,14.0,1.0,0.0,1,5.0,1948.0,0.0,0.0,3.0
154,-75.5552215471,40.0994100566,15,6519.0,15101900400132,0.0,1.0,4176.0,48.0,1.0,7.0,2.0,0.0,87.0,3.0,0.0,1,6.0,1969.0,0.0,0.0,3.0
160,-75.6191837849,40.0960753345,15,546.0,15102400500927,0.0,1.0,282.000061,28.2000027,2.0,1.0,1.0,0.0,10.0,1.0,0.0,1,5.0,1930.0,0.0,0.0,3.0
161,-75.6146404896,40.0923021943,15,852.0,15102400601467,0.0,1.0,672.0,32.0,1.0,9.0,19.0,0.0,21.0,3.0,0.0,1,6.0,1987.0,0.0,0.0,3.0
165,-78.3518,41.3640000001,24,25.0,24793551130029,0.0,11.0,210.000015,21.0,2.0,1.0,1.0,0.0,10.0,1.0,1.0,0,3.0,1936.0,0.0,0.0,7.0
168,-75.5862408218,40.0797749397,15,1575.0,15102400901025,0.0,1.0,270.0,27.0,2.0,1.0,19.0,0.0,10.0,1.0,0.0,1,7.0,1972.0,0.0,0.0,3.0
169,-75.5591851072,40.1298184826,15,9867.0,15011302401217,0.0,1.0,1176.00012,0.0,2.0,1.0,19.0,0.0,28.0,1.0,0.0,1,5.0,1961.0,0.0,0.0,3.0
172,-79.8257,40.3617999999,2,200.0,02711100001001,0.0,3.0,759.79999,26.2000008,3.0,3.0,1.0,0.0,29.0,1.0,0.0,0,5.0,1940.0,2015.0,1.0,5.0
173,-75.2851,40.0057999998,46,13320.0,46710403200015,0.0,3.0,2201.0,31.0,4.0,1.0,5.0,1.0,71.0,5.0,1.0,0,7.0,2007.0,0.0,0.0,5.0
175,-77.6199,41.4747000001,18,20.0,18793551150024,0.0,11.0,249.199997,17.7999992,2.0,1.0,19.0,0.0,14.0,1.0,1.0,0,8.0,1999.0,0.0,0.0,7.0
176,-77.6269,41.3597000001,18,150.0,18793561100601,0.0,11.0,611.200012,38.2000008,3.0,1.0,19.0,0.0,16.0,1.0,0.0,0,8.0,2008.0,2058.0,0.0,7.0
183,-75.6388685636,39.9603945421,15,6081.0,15016201900000,0.0,1.0,1776.0,48.0,4.0,2.0,6.0,0.0,37.0,5.0,0.0,1,7.0,1969.0,0.0,0.0,3.0
186,-75.5829236814,39.9710335073,15,110545.0,15020201400000,0.0,1.0,8316.0,84.0,1.0,9.0,2.0,0.0,99.0,3.0,0.0,1,5.0,1954.0,1967.0,0.0,2.0
