,Latitude,Longitude,Structure_Material,Structure_Type,Town,Bridge_Owner,Bridge_Identification_Number__B,Year_Built,Year_Reconstructed,Structure_Length,Structurally_Deficient,Structure_Category
4,42.26003283,-71.79359383,1.0,2,Worcester,0,1T8,1958,2007,474.0,0,1
5,42.265711,-71.79331703,4.0,2,Worcester,0,1T9,1958,0,48.8,0,1
6,42.26585583,-71.79351483,4.0,2,Worcester,0,1TA,1958,0,48.8,0,1
7,42.267346,-71.793242,2.0,7,Worcester,0,1TB,1958,0,13.4,0,1
8,42.275032,-71.796266,1.0,2,Worcester,0,1TC,1961,1982,50.9,0,1
9,42.39987897,-73.26712997,2.0,19,Lenox,0,ABR,1999,0,3.1,0,2
10,42.452848,-73.20613097,3.0,6,Pittsfield,0,ABT,1998,0,42.0,0,1
11,42.45361111,-73.22666667,1.0,2,Pittsfield,0,ABU,2001,0,47.0,0,1
12,42.708052,-73.223532,8.0,10,Williamstown,0,ACC,1997,0,16.2,0,1
13,42.617058,-72.744185,4.0,6,Buckland,0,ACF,1997,0,48.7,0,1
14,42.57715697,-73.24957297,3.0,1,Lanesborough,0,09Y,1961,0,12.0,0,1
15,42.58699597,-73.25024297,3.0,1,Lanesborough,0,0A0,1961,0,8.5,0,1
16,42.611826,-73.23208997,1.0,2,New Ashford,0,0A1,1945,0,14.0,0,1
17,42.61508597,-73.231245,1.0,2,New Ashford,0,0A2,1954,0,16.0,0,1
18,42.62530497,-73.230607,2.0,1,New Ashford,0,0A3,1955,0,7.3,0,1
19,42.408977,-71.795207,3.0,2,Sterling,0,1W9,1979,0,28.0,0,1
20,42.412522,-71.79451197,3.0,2,Sterling,0,1WA,1979,0,28.7,0,1
21,42.412815,-71.79504097,3.0,2,Sterling,0,1WB,1979,0,28.3,0,1
22,42.416645,-71.79335783,4.0,2,Sterling,0,1WC,1979,0,100.9,0,1
23,42.41648083,-71.79278383,4.0,2,Sterling,0,1WD,1979,0,101.8,0,1
24,42.656913,-72.93525097,3.0,5,Charlemont,0,0EK,1939,1992,17.0,0,1
25,42.6317,-72.86890697,8.0,10,Charlemont,0,0EL,1950,2009,28.7,0,1
26,42.65584497,-72.93661897,1.0,2,Charlemont,0,0EM,1938,0,15.5,0,1
27,42.27431583,-71.62491583,1.0,2,Westborough,0,22V,1900,1963,39.6,0,1
28,42.267667,-71.552665,1.0,2,Hopkinton,0,22W,1936,1976,56.7,1,1
29,42.50666667,-72.70627778,1.0,2,Conway,0,0K8,1978,0,16.2,0,1
30,42.51437097,-72.72025497,2.0,4,Conway,0,0K9,1926,0,15.5,0,1
31,42.51751097,-72.73191197,1.0,2,Conway,0,0KA,1926,1938,16.4,0,1
32,42.55957897,-72.80399097,2.0,4,Ashfield,0,0KB,1900,1952,13.1,0,1
33,42.56772097,-72.80182897,1.0,2,Buckland,0,0KC,1955,0,22.0,0,1
34,42.152095,-71.425982,3.0,1,Medway,0,2A5,1957,0,7.3,0,1
35,42.119548,-71.45341,3.0,1,Bellingham,0,2A7,1956,0,12.2,0,1
36,42.122869,-71.447738,3.0,1,Bellingham,0,2A8,1956,0,12.5,0,1
37,42.243014,-71.87132497,2.0,4,Leicester,0,6QW,1907,1940,3.8,0,2
43,42.313124,-71.582508,5.0,11,Marlborough,0,9WM,1906,0,5.2,0,2
44,42.401144,-71.13643997,5.0,11,Arlington,0,9WN,1908,0,5.2,0,2
45,42.40439297,-71.134538,2.0,11,Arlington,0,9WP,1913,0,9.1,0,1
46,42.407052,-71.133868,5.0,11,Arlington,0,9WQ,1927,0,4.6,0,2
51,42.64349297,-72.71536797,1.0,2,Colrain,0,5E7,1970,0,5.0,1,2
52,42.64333333,-72.71527778,1.0,19,Colrain,0,5E8,1970,0,1.2,0,3
60,42.227417,-71.69732983,1.0,2,Grafton,0,4LG,1957,1986,49.1,0,1
61,42.22575183,-71.70381983,6.0,19,Grafton,0,4LH,1957,0,11.9,0,1
62,42.22309283,-71.722615,4.0,2,Grafton,0,4LJ,1957,1994,58.3,0,1
63,42.222835,-71.729562,1.0,2,Grafton,0,4LK,1957,1988,20.1,0,1
64,42.22304497,-71.729364,1.0,2,Grafton,0,4LL,1957,1988,20.1,0,1
66,42.234608,-70.872152,2.0,19,Hingham,0,76P,2005,0,6.9,0,2
67,42.19289444,-70.726175,2.0,19,Scituate,0,76Q,1986,0,7.8,0,1
69,42.34254297,-71.25696997,2.0,7,Newton,0,4QM,1964,0,12.5,0,1
70,42.343249,-71.254642,1.0,2,Newton,0,4QN,1965,0,35.4,0,1
71,42.344914,-71.252046,1.0,2,Newton,0,4QP,1964,1995,77.7,0,1
72,42.34619897,-71.246767,1.0,2,Newton,0,4QQ,1964,1995,56.5,0,1
73,42.34669697,-71.24218297,1.0,2,Newton,0,4QR,1964,0,57.0,0,1
74,42.554513,-71.67373283,2.0,19,Shirley,0,AGQ,2002,0,7.0,0,1
75,42.67824697,-71.724399,3.0,5,Townsend,0,AFL,1999,0,22.5,0,1
76,42.14006783,-71.389589,3.0,5,Medway,0,AAK,1995,0,24.2,0,1
77,42.133495,-71.361861,3.0,6,Millis,0,ADL,1996,0,22.1,0,1
79,42.036403,-72.58879697,1.0,19,Longmeadow,0,5XG,1960,0,7.4,0,1
80,42.05775297,-72.58905197,1.0,2,Longmeadow,0,0YV,1959,1985,14.6,0,1
81,42.057777,-72.589357,1.0,2,Longmeadow,0,0YW,1959,1985,14.6,0,1
82,42.29186897,-72.62809797,1.0,2,Northampton,0,0YX,1965,0,18.6,0,1
83,42.29206097,-72.62783197,1.0,2,Northampton,0,0YY,1965,0,18.6,0,1
84,42.37221,-71.069473,7.0,21,Boston,0,8YF,2001,0,209.8,0,1
85,42.37115583,-71.06690883,7.0,21,Cambridge,0,8YH,2002,0,237.7,0,1
86,42.37295683,-71.06943483,3.0,1,Boston,0,8YJ,1999,0,38.1,0,1
87,42.335447,-71.06484397,7.0,2,Boston,0,91P,2000,0,73.1,0,1
88,42.370455,-71.06433333,4.0,5,Boston,0,91R,1989,0,164.0,0,1
89,42.33408297,-71.062982,3.0,1,Boston,0,91U,1998,0,6.8,0,1
90,42.18039497,-71.23299,1.0,2,Walpole,0,3KC,1911,2007,10.5,0,1
91,42.15932397,-71.23448,1.0,2,Walpole,0,3KD,1925,0,9.1,0,1
92,42.14611297,-71.249161,2.0,11,Walpole,0,3KE,1924,0,6.4,0,1
94,42.15758697,-71.20890597,3.0,1,Walpole,0,3KG,1956,0,7.0,0,1
95,42.280925,-71.39784444,1.0,19,Natick,0,7TP,1955,0,5.0,0,2
96,41.74044597,-71.186802,3.0,1,Somerset,0,3N4,1970,0,7.9,0,1
